name,artists
Bad and Boujee (feat. Lil Uzi Vert),Migos
Fake Love,Drake
HUMBLE.,Kendrick Lamar
Feels,Calvin Harris
Bank Account,21 Savage
You Don't Know Me - Radio Edit,Jax Jones
Strip That Down,Liam Payne
There's Nothing Holdin' Me Back,Shawn Mendes
